feature,importance
monthly_travel_intensity,7.532040688379268
city_charging_interaction,6.649858391685375
stack_adoption_entropy,5.814323996330547
vehicle_renewal_need,5.459262629205546
age,4.98851964615783
income_quantile_group,4.88897057206745
battery_replacement_concern,4.770369656616551
edu_ord,4.728863538073462
environmental_awareness_score,4.482583866264416
city_income_interaction,4.131866594166661
government_incentive_awareness,3.684414724682612
stack_p_low,3.518675236279238
stack_adoption_expectation,3.140789575496889
charging_scarcity,3.0797933320635207
charging_station_accessibility,2.701496030342195
monthly_charging_cost,2.5466829387155667
previous_ev_experience,2.0948048486162154
ev_knowledge_score,2.0382667240447456
long_commute_flag,2.0258859714563027
technology_affinity_score,1.9312295673004796
range_anxiety_score,1.778865117828757
fuel_expense_per_month,1.7460032915166728
daily_commute_km,1.7134477328879807
ln_fuel,1.6849566076754832
vehicle_age_years,1.6370480458052954
ev_knowledge_score_ms,1.3747035442991056
annual_income,1.3635493209740701
stack_p_high,1.3616914143995962
stack_p_medium,1.31158081861134
electricity_cost_per_kwh,1.2327409177483615
ln_income,1.1139444531615055
nearest_charging_station_km,1.1119985018733707
monthly_energy_consumption_kwh,0.8750497043071691
charging_station_accessibili_ms,0.6847806769983847
weekly_travel_distance_km,0.6194602904514747
education_level_missing,0.10375757341811265
fuel_expense_invalid,0.07772346009845353
city_type,0.0
current_vehicle_type,0.0
education_level,0.0
annual_income_ms,0.0
daily_commute_km_ms,0.0
