feature,importance
charging_scarcity,6.062226432757852
daily_commute_km,5.729911260018135
government_incentive_awareness,5.586643129460405
vehicle_renewal_need,5.511378412427607
environmental_awareness_score,5.372032206888359
range_anxiety_score,5.012681528384266
technology_affinity_score,4.578625669240233
ev_knowledge_score,4.018048268540016
city_charging_interaction,3.9734354181792315
monthly_charging_cost,3.724188908464983
monthly_energy_consumption_kwh,3.699091892925205
city_income_interaction,3.4167544986948575
battery_replacement_concern,3.220567773049001
electricity_cost_per_kwh,3.2059224871476606
annual_income,3.1431352730482165
monthly_travel_intensity,3.0743659951406204
age,3.007598390705528
ln_fuel,2.917928998647387
vehicle_age_years,2.819300934148262
charging_station_accessibility,2.7713239509212153
ln_income,2.687589443737987
nearest_charging_station_km,2.440083584543461
weekly_travel_distance_km,2.4157625571843893
current_vehicle_type,2.327101750794903
fuel_expense_per_month,2.195638007909154
city_type,1.8876901121451573
education_level,1.87810282393051
previous_ev_experience,1.1945481663014266
ev_knowledge_score_ms,0.8443447463605659
edu_ord,0.3512461180832327
fuel_expense_invalid,0.32825028097066444
education_level_missing,0.32019328125218877
income_quantile_group,0.09599288174352091
charging_station_accessibili_ms,0.09429744470848972
long_commute_flag,0.09399737154533322
annual_income_ms,0.0
daily_commute_km_ms,0.0
